Title,Year,Genres,Rating,Votes,Type
Kill Bill: Vol. 2,2004,"Action,Crime,Thriller",8.0,864389,movie
Coffee and Cigarettes,2003,"Comedy,Drama,Music",7.0,70621,movie
Capote,2005,"Biography,Crime,Drama",7.3,148893,movie
Serenity,2005,"Action,Adventure,Sci-Fi",7.8,314417,movie
Goal! The Dream Begins,2005,"Drama,Romance,Sport",6.7,68394,movie
The Lovely Bones,2009,"Drama,Fantasy,Thriller",6.6,190586,movie
Casino Royale,2006,"Action,Adventure,Thriller",8.0,740060,movie
Before Sunset,2004,"Drama,Romance",8.1,312773,movie
White Chicks,2004,"Comedy,Crime",5.9,190753,movie
3:10 to Yuma,2007,"Action,Crime,Drama",7.6,349811,movie
Hide and Seek,2005,"Horror,Mystery",6.0,92424,movie
The Da Vinci Code,2006,"Mystery,Thriller",6.7,483893,movie
Dark Water,2005,"Drama,Horror,Mystery",5.6,67733,movie
Ratatouille,2007,"Adventure,Animation,Comedy",8.1,933678,movie
Stealth,2005,"Action,Adventure,Sci-Fi",5.1,58343,movie
"Synecdoche, New York",2008,Drama,7.5,104111,movie
MythBusters,2003,"Documentary,Mystery,Reality-TV",8.3,56554,tvSeries
The Pink Panther,2006,"Adventure,Comedy,Crime",5.7,98486,movie
Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy",7.4,821005,movie
G.O.R.A.,2004,"Adventure,Comedy,Sci-Fi",8.0,71244,movie
Silent Hill,2006,"Horror,Mystery",6.5,261184,movie
The Weather Man,2005,"Comedy,Drama",6.5,85915,movie
Rome,2005,"Action,Drama,Romance",8.7,202644,tvSeries
Accepted,2006,Comedy,6.4,146966,movie
The Amityville Horror,2005,Horror,5.9,122343,movie
Green Street Hooligans,2005,"Crime,Drama,Sport",7.4,170497,movie
House of Flying Daggers,2004,"Action,Adventure,Drama",7.5,119434,movie
In Good Company,2004,"Comedy,Drama,Romance",6.4,57906,movie
Miss Congeniality 2: Armed & Fabulous,2005,"Action,Comedy,Crime",5.2,84520,movie
Final Fantasy VII: Advent Children,2005,"Action,Adventure,Animation",7.1,59586,movie
Glory Road,2006,"Biography,Drama,Sport",7.2,51033,movie
The Golden Compass,2007,"Adventure,Family,Fantasy",6.1,203236,movie
Monster House,2006,"Animation,Comedy,Family",6.7,154181,movie
Motherless Brooklyn,2019,"Crime,Drama,Mystery",6.8,65933,movie
Sicko,2007,"Documentary,Drama",8.0,78214,movie
Where the Wild Things Are,2009,"Adventure,Drama,Family",6.7,111776,movie
The Legend of Zorro,2005,"Action,Adventure,Drama",6.0,114224,movie
Hitch,2005,"Comedy,Romance",6.6,348004,movie
The Office,2005,Comedy,9.0,823155,tvSeries
The Constant Gardener,2005,"Drama,Mystery,Romance",7.3,155345,movie
Entourage,2004,"Comedy,Drama",8.4,183134,tvSeries
Saw,2004,"Horror,Mystery,Thriller",7.6,506540,movie
Seed of Chucky,2004,"Comedy,Horror,Thriller",4.9,54105,movie
Peep Show,2003,Comedy,8.7,73237,tvSeries
Idiocracy,2006,"Adventure,Comedy,Sci-Fi",6.5,213468,movie
The Black Dahlia,2006,"Crime,Drama,Mystery",5.6,79628,movie
Caché,2005,"Drama,Mystery,Thriller",7.3,89839,movie
In Her Shoes,2005,"Comedy,Drama,Romance",6.5,67532,movie
Christmas with the Kranks,2004,"Comedy,Family",5.5,65223,movie
Tokyo Godfathers,2003,"Adventure,Animation,Comedy",7.8,54499,movie
Transporter 2,2005,"Action,Thriller",6.3,225262,movie
One Piece,1999,"Action,Adventure,Animation",9.0,345299,tvSeries
Brokeback Mountain,2005,"Drama,Romance",7.7,414555,movie
