Title,Year,Genres,Rating,Votes,Type,Popularity,Decade
SpongeBob SquarePants,1999,"Animation,Comedy,Family",8.2,124530,tvSeries,96.20487582366458,1990
Children of Men,2006,"Drama,Sci-Fi,Thriller",7.9,562862,movie,104.60223911682324,2000
What Women Want,2000,"Comedy,Fantasy,Romance",6.5,238333,movie,80.47925687363679,2000
Big Momma's House,2000,"Action,Comedy,Crime",5.3,95518,movie,60.77547094903401,2000
Snatch,2000,"Comedy,Crime",8.2,971825,movie,113.05283441386385,2000
Memento,2000,"Drama,Mystery,Thriller",8.4,1426357,movie,119.03332727374222,2000
The Mummy Returns,2001,"Action,Adventure,Fantasy",6.4,365539,movie,81.97842083600621,2000
The Wedding Planner,2001,"Comedy,Romance",5.4,92434,movie,61.74495083870148,2000
The Cell,2000,"Crime,Horror,Sci-Fi",6.4,115477,movie,74.60369059145603,2000
Ginger Snaps,2000,"Drama,Fantasy,Horror",6.8,57262,movie,74.49666904378459,2000
Remember the Titans,2000,"Biography,Comedy,Drama",7.8,248236,movie,96.89265444731988,2000
Jason X,2001,"Action,Horror,Sci-Fi",4.5,66451,movie,49.968990508217004,2000
Amélie,2001,"Comedy,Romance",8.3,836238,movie,113.18434888653042,2000
Awake,2007,"Crime,Drama,Mystery",6.5,86666,movie,73.9038100384498,2000
Meet the Parents,2000,"Comedy,Romance",7.0,376501,movie,89.87073187582739,2000
Miss Congeniality,2000,"Action,Comedy,Crime",6.4,246799,movie,79.46450892250435,2000
Malcolm in the Middle,2000,"Comedy,Drama,Family",8.2,155951,tvSeries,98.04983650148162,2000
2046,2004,"Drama,Romance,Sci-Fi",7.4,65383,movie,82.05132997964887,2000
A.I. Artificial Intelligence,2001,"Adventure,Drama,Sci-Fi",7.2,337824,movie,91.65801836728383,2000
Hannibal,2001,"Crime,Drama,Thriller",6.8,312324,movie,86.03221544861292,2000
Pearl Harbor,2001,"Action,Drama,Romance",6.3,368039,movie,80.74044839571883,2000
Cowboy Bebop,1998,"Action,Adventure,Animation",8.9,167169,tvSeries,107.03816894612362,1990
Malena,2000,"Drama,Romance,War",7.4,123988,movie,86.7867564862592,2000
Dragon Ball Z,1996,"Action,Adventure,Animation",8.8,175333,tvSeries,106.25509225680138,1990
Road Trip,2000,Comedy,6.5,187890,movie,78.9334777672192,2000
Enemy at the Gates,2001,"Action,Drama,War",7.5,292037,movie,94.38476839163893,2000
The 6th Day,2000,"Action,Mystery,Sci-Fi",6.0,133451,movie,70.808937889487,2000
Gangs of New York,2002,"Crime,Drama",7.5,502673,movie,98.45771353704039,2000
Unbreakable,2000,"Drama,Mystery,Sci-Fi",7.3,465770,movie,95.27556477194888,2000
Best in Show,2000,Comedy,7.5,74558,movie,84.14499468724026,2000
Original Sin,2001,"Crime,Drama,Mystery",6.0,63270,movie,66.33099937284558,2000
The Family Man,2000,"Comedy,Drama,Fantasy",6.9,130443,movie,81.27297223815985,2000
The Gift,2000,"Drama,Fantasy,Horror",6.7,80706,movie,75.70040694627546,2000
Bandits,2001,"Action,Comedy,Crime",6.5,74109,movie,72.88639969909151,2000
Halloween: Resurrection,2002,"Horror,Thriller",3.9,53695,movie,42.475193148540036,2000
Courage the Cowardly Dog,1999,"Adventure,Animation,Comedy",8.3,56751,tvSeries,90.85535701757033,1990
Blow,2001,"Biography,Crime,Drama",7.5,286591,movie,94.24358543423516,2000
Pay It Forward,2000,Drama,7.2,128444,movie,84.69538769278542,2000
The Score,2001,"Crime,Drama,Thriller",6.8,142968,movie,80.7185575342411,2000
Spy Kids,2001,"Action,Adventure,Comedy",5.6,135169,movie,66.1599743076116,2000
Formula 51,2001,"Action,Comedy,Crime",6.3,52546,movie,68.47749880917814,2000
Ghosts of Mars,2001,"Action,Horror,Sci-Fi",4.9,61439,movie,54.02642044907242,2000
Proof of Life,2000,"Action,Drama,Thriller",6.3,60827,movie,69.39947100446484,2000
The Crimson Rivers,2000,"Crime,Mystery,Thriller",6.9,69490,movie,76.92767314052779,2000
Atlantis: The Lost Empire,2001,"Action,Adventure,Animation",6.9,146674,movie,82.082177240237,2000
Bedazzled,2000,"Comedy,Fantasy",6.1,118653,movie,71.27214713056539,2000
The Others,2001,"Horror,Mystery,Thriller",7.6,424614,movie,98.48791207936813,2000
Sweet November,2001,"Drama,Romance",6.7,98576,movie,77.04050679180416,2000
The Fast and the Furious,2001,"Action,Crime,Thriller",6.8,454277,movie,88.57994447726445,2000
3000 Miles to Graceland,2001,"Action,Comedy,Crime",6.0,50953,movie,65.03195350904143,2000
Collateral Damage,2002,"Action,Drama,Thriller",5.5,80819,movie,62.14982050959528,2000
The Matrix Reloaded,2003,"Action,Sci-Fi",7.2,667331,movie,96.55949846649301,2000
Audition,1999,"Drama,Horror,Mystery",7.1,98405,movie,81.6276129527785,1990
The Fairly OddParents,2001,"Adventure,Animation,Comedy",7.2,51571,tvSeries,78.12514640142625,2000
The Mexican,2001,"Adventure,Comedy,Drama",6.1,120669,movie,71.37491988771343,2000
Coupling,2000,"Comedy,Romance",8.5,50073,tvSeries,91.98051636699547,2000
Brotherhood of the Wolf,2001,"Action,Adventure,Drama",7.0,76427,movie,78.70863921104655,2000
The Pledge,2001,"Crime,Drama,Mystery",6.7,76777,movie,75.36602464727892,2000
Equilibrium,2002,"Action,Drama,Sci-Fi",7.3,361120,movie,93.41784882197494,2000
Queen of the Damned,2002,"Drama,Fantasy,Horror",5.3,63928,movie,58.64721746398778,2000
Gilmore Girls,2000,"Comedy,Drama",8.2,172361,tvSeries,98.87024042688948,2000
Devdas,2002,"Drama,Musical,Romance",7.6,51867,movie,82.50892901867392,2000
Cats & Dogs,2001,"Action,Adventure,Comedy",5.2,65415,movie,57.66023571851388,2000
Kung Pow: Enter the Fist,2002,"Action,Comedy",6.2,50641,movie,67.16160418392252,2000
Freddy Got Fingered,2001,Comedy,4.7,53993,movie,51.21406553131644,2000
Ocean's Eleven,2001,"Crime,Thriller",7.7,669290,movie,103.2875900055538,2000
Serendipity,2001,"Comedy,Romance",6.8,131144,movie,80.13154839872279,2000
